Frame 	 Stimulus
000121 	 -3dotD2_dir45
000331 	 gratW12.5_dir90
000541 	 gratW2_dir45
000751 	 -1dotD2_dir270
000961 	 +1dotD2_dir135
001171 	 +3dotD2_dir180
001381 	 +1dotD2_dir45
001591 	 -3dotD2_dir315
001801 	 gratW2_dir270
002011 	 gratW12.5_dir0
002221 	 +3dotD2_dir45
002431 	 -1dotD2_dir45
002641 	 -1dotD2_dir0
002851 	 +1dotD2_dir0
003061 	 +3dotD2_dir0
003271 	 gratW12.5_dir225
003481 	 gratW2_dir90
003691 	 -3dotD2_dir180
003901 	 gratW2_dir0
004111 	 -1dotD2_dir135
004321 	 +3dotD2_dir225
004531 	 +1dotD2_dir315
004741 	 -3dotD2_dir135
004951 	 gratW12.5_dir180
005161 	 +3dotD2_dir90
005371 	 gratW12.5_dir135
005581 	 +1dotD2_dir180
005791 	 -3dotD2_dir0
006001 	 gratW2_dir225
006211 	 -1dotD2_dir180
006421 	 gratW2_dir135
006631 	 +3dotD2_dir315
006841 	 +1dotD2_dir225
007051 	 gratW12.5_dir270
007261 	 -1dotD2_dir225
007471 	 -3dotD2_dir270
007681 	 -1dotD2_dir315
007891 	 gratW2_dir180
008101 	 +3dotD2_dir270
008311 	 -3dotD2_dir225
008521 	 +1dotD2_dir270
008731 	 gratW12.5_dir45
008941 	 +1dotD2_dir90
009151 	 -1dotD2_dir90
009361 	 gratW2_dir315
009571 	 gratW12.5_dir315
009781 	 +3dotD2_dir135
009991 	 -3dotD2_dir90
010201 	 gratW12.5_dir90
010411 	 -1dotD2_dir45
010621 	 +3dotD2_dir180
010831 	 -3dotD2_dir90
011041 	 +1dotD2_dir315
011251 	 gratW2_dir90
011461 	 +1dotD2_dir270
011671 	 gratW12.5_dir315
011881 	 -1dotD2_dir225
012091 	 gratW2_dir0
012301 	 -3dotD2_dir225
012511 	 +3dotD2_dir270
012721 	 -3dotD2_dir0
012931 	 +1dotD2_dir45
013141 	 gratW12.5_dir180
013351 	 +3dotD2_dir315
013561 	 -1dotD2_dir180
013771 	 gratW2_dir45
013981 	 -1dotD2_dir315
014191 	 -3dotD2_dir45
014401 	 gratW12.5_dir45
014611 	 +1dotD2_dir225
014821 	 gratW2_dir315
015031 	 +3dotD2_dir135
015241 	 gratW12.5_dir225
015451 	 +3dotD2_dir45
015661 	 +1dotD2_dir135
015871 	 gratW2_dir180
016081 	 -1dotD2_dir135
016291 	 -3dotD2_dir315
016501 	 -1dotD2_dir270
016711 	 gratW12.5_dir135
016921 	 +3dotD2_dir0
017131 	 -3dotD2_dir180
017341 	 gratW2_dir270
017551 	 +1dotD2_dir180
017761 	 gratW2_dir135
017971 	 -1dotD2_dir90
018181 	 +3dotD2_dir225
018391 	 gratW12.5_dir270
018601 	 +1dotD2_dir90
018811 	 -3dotD2_dir270
019021 	 +1dotD2_dir0
019231 	 gratW2_dir225
019441 	 -1dotD2_dir0
019651 	 -3dotD2_dir135
019861 	 +3dotD2_dir90
020071 	 gratW12.5_dir0
