Frame 	 Stimulus
000121 	 gratW12.5_dir90
000331 	 -1dotD2_dir45
000541 	 +3dotD2_dir180
000751 	 -3dotD2_dir90
000961 	 +1dotD2_dir315
001171 	 gratW2_dir90
001381 	 +1dotD2_dir270
001591 	 gratW12.5_dir315
001801 	 -1dotD2_dir225
002011 	 gratW2_dir0
002221 	 -3dotD2_dir225
002431 	 +3dotD2_dir270
002641 	 -3dotD2_dir0
002851 	 +1dotD2_dir45
003061 	 gratW12.5_dir180
003271 	 +3dotD2_dir315
003481 	 -1dotD2_dir180
003691 	 gratW2_dir45
003901 	 -1dotD2_dir315
004111 	 -3dotD2_dir45
004321 	 gratW12.5_dir45
004531 	 +1dotD2_dir225
004741 	 gratW2_dir315
004951 	 +3dotD2_dir135
005161 	 gratW12.5_dir225
005371 	 +3dotD2_dir45
005581 	 +1dotD2_dir135
005791 	 gratW2_dir180
006001 	 -1dotD2_dir135
006211 	 -3dotD2_dir315
006421 	 -1dotD2_dir270
006631 	 gratW12.5_dir135
006841 	 +3dotD2_dir0
007051 	 -3dotD2_dir180
007261 	 gratW2_dir270
007471 	 +1dotD2_dir180
007681 	 gratW2_dir135
007891 	 -1dotD2_dir90
008101 	 +3dotD2_dir225
008311 	 gratW12.5_dir270
008521 	 +1dotD2_dir90
008731 	 -3dotD2_dir270
008941 	 +1dotD2_dir0
009151 	 gratW2_dir225
009361 	 -1dotD2_dir0
009571 	 -3dotD2_dir135
009781 	 +3dotD2_dir90
009991 	 gratW12.5_dir0
