Frame 	 Stimulus
000121 	 -1dotD0.16_dir270
000331 	 +-1dot_opp_dir270,90
000541 	 +1dotD0.16_dir180
000751 	 -3dotD0.16_dir180
000961 	 +-1dot_dir270,270
001171 	 --1dotD1opp_dir180,0
001381 	 gratW0.16_dir90
001591 	 ++1dotD1opp_dir0,180
001801 	 +3dotD0.16_dir180
002011 	 gratW0.16_dir270
002221 	 +-1dot_dir180,180
002431 	 --1dotD1opp_dir270,90
002641 	 +1dotD0.16_dir270
002851 	 ++1dotD1opp_dir90,270
003061 	 -1dotD0.16_dir0
003271 	 -3dotD0.16_dir90
003481 	 +3dotD0.16_dir270
003691 	 +-1dot_opp_dir0,180
003901 	 +-1dot_dir90,90
004111 	 ++1dotD1opp_dir180,0
004321 	 +1dotD0.16_dir0
004531 	 +3dotD0.16_dir0
004741 	 +-1dot_opp_dir180,0
004951 	 gratW0.16_dir0
005161 	 -3dotD0.16_dir0
005371 	 --1dotD1opp_dir0,180
005581 	 -1dotD0.16_dir90
005791 	 +-1dot_dir0,0
006001 	 +1dotD0.16_dir90
006211 	 --1dotD1opp_dir90,270
006421 	 ++1dotD1opp_dir270,90
006631 	 +3dotD0.16_dir90
006841 	 -1dotD0.16_dir180
007051 	 -3dotD0.16_dir270
007261 	 gratW0.16_dir180
007471 	 +-1dot_opp_dir90,270
